Gender,Married,Education,ApplicantIncome,LoanAmount,Credit_History,Loan_To_Income_Ratio,Loan_Status
Female,Yes,Not Graduate,34311,41,0,1.1949520561918918,N
Female,Yes,Not Graduate,33206,616,1,18.550864301632235,Y
Male,No,Not Graduate,47555,719,1,15.119335506255915,Y
Male,Yes,Graduate,36619,422,0,11.52407220295475,Y
Male,Yes,Graduate,3076,759,1,246.74902470741222,N
Male,Yes,Not Graduate,44270,234,0,5.285746555229275,N
Female,Yes,Graduate,43202,229,1,5.300680524049812,Y
Male,Yes,Graduate,22444,169,1,7.529852076278738,Y
Male,No,Graduate,29500,378,1,12.813559322033898,Y
Male,Yes,Graduate,48815,848,1,17.37170951551777,Y
Male,No,Graduate,26849,829,0,30.876382733062684,N
Male,Yes,Graduate,45313,388,1,8.562664136119878,Y
Male,Yes,Not Graduate,4610,593,0,128.63340563991324,N
Male,Yes,Not Graduate,9957,723,1,72.61223260018077,N
Female,Yes,Not Graduate,22317,248,0,11.11260474078057,N
Female,Yes,Not Graduate,29445,176,1,5.97724571234505,Y
Female,Yes,Graduate,40903,972,1,23.763538126787765,Y
Male,Yes,Graduate,49418,621,1,12.566271399085354,Y
Female,No,Graduate,19748,981,1,49.67591654851124,Y
Male,Yes,Not Graduate,2847,344,1,120.82894274675097,N
Male,Yes,Not Graduate,40157,706,0,17.580994596209877,N
Female,No,Graduate,30416,230,0,7.561809573908469,Y
Male,Yes,Graduate,10327,268,1,25.95138956134405,Y
Male,Yes,Not Graduate,24994,516,0,20.644954789149395,N
Female,No,Graduate,37244,326,0,8.753087745677156,N
Female,Yes,Graduate,38635,175,1,4.529571631939951,Y
Female,No,Graduate,25231,270,1,10.701121636082597,Y
Female,No,Graduate,15608,45,1,2.8831368528959507,Y
Male,No,Not Graduate,48700,707,1,14.517453798767967,Y
Male,Yes,Not Graduate,33336,497,1,14.908807295416366,Y
Male,Yes,Graduate,20707,103,1,4.974163326411358,Y
Male,No,Graduate,14382,179,1,12.44611319705187,Y
Male,Yes,Graduate,36689,111,1,3.02542996538472,Y
Female,Yes,Graduate,12488,616,1,49.327354260089685,Y
Male,No,Not Graduate,8999,103,1,11.445716190687854,Y
Male,Yes,Graduate,26726,756,1,28.287061288632792,Y
Male,Yes,Not Graduate,14854,30,0,2.0196580045778916,N
Male,Yes,Graduate,31630,256,0,8.093582042364844,N
Female,Yes,Graduate,6337,891,0,140.60280890011046,N
Female,Yes,Graduate,32919,721,1,21.902244904158692,Y
Female,Yes,Graduate,14523,82,1,5.646216346484886,Y
Male,Yes,Graduate,512,822,1,1605.46875,N
Male,Yes,Graduate,6783,498,1,73.41884122069881,Y
Male,No,Graduate,46713,848,1,18.153404833772182,Y
Female,Yes,Not Graduate,43434,604,0,13.906156467283695,Y
Male,Yes,Not Graduate,12063,685,1,56.785210975710854,Y
Male,No,Not Graduate,39029,993,1,25.442619590560867,Y
Female,No,Not Graduate,30624,240,1,7.836990595611285,Y
Female,Yes,Graduate,48559,627,1,12.912127514981774,Y
Female,Yes,Graduate,18993,465,0,24.48270415416206,N
Male,Yes,Graduate,34232,49,0,1.431409207758822,Y
Female,Yes,Not Graduate,3645,24,0,6.584362139917696,N
Male,No,Graduate,20114,128,1,6.36372675748235,Y
Male,Yes,Graduate,48208,652,1,13.524726186525058,Y
Female,No,Graduate,27179,571,1,21.008867140071377,Y
Male,Yes,Graduate,14750,557,1,37.76271186440678,Y
Male,Yes,Graduate,6453,41,1,6.35363396869673,Y
Female,Yes,Not Graduate,35324,474,1,13.418638885743404,Y
Male,Yes,Not Graduate,32420,925,0,28.53177051202961,N
Female,No,Graduate,19009,403,1,21.20048398127203,Y
Female,Yes,Graduate,47571,628,1,13.201320132013201,Y
Female,Yes,Graduate,1599,782,0,489.0556597873671,N
Male,Yes,Not Graduate,15534,786,1,50.59868675164156,Y
Male,Yes,Graduate,46092,524,1,11.368567213399288,Y
Female,Yes,Graduate,16386,859,1,52.422799951177836,Y
Female,Yes,Graduate,12986,397,1,30.571384567996304,Y
Male,No,Not Graduate,26943,889,1,32.995583268381395,Y
Female,No,Not Graduate,41278,247,1,5.983817045399486,Y
Female,Yes,Graduate,5605,287,0,51.2042818911686,N
Male,Yes,Graduate,47179,62,0,1.3141440047478752,Y
Male,No,Not Graduate,39856,797,0,19.996989160979528,N
Female,No,Not Graduate,9471,422,0,44.55706894731285,N
Male,No,Graduate,35744,236,1,6.602506714413608,Y
Male,No,Graduate,19555,239,1,12.221938123242138,Y
Female,Yes,Graduate,20413,902,0,44.18752755596923,N
Male,Yes,Graduate,39272,835,1,21.26196781421878,Y
Female,Yes,Graduate,48157,557,0,11.566335112237057,Y
Male,Yes,Not Graduate,6769,619,1,91.44629930565814,N
Male,Yes,Graduate,21321,479,0,22.466113221706298,Y
Male,Yes,Graduate,24306,397,1,16.333415617542993,Y
Female,Yes,Graduate,19127,916,1,47.890416688450884,Y
Male,Yes,Graduate,18477,134,1,7.2522595659468525,Y
Female,Yes,Not Graduate,3087,424,1,137.3501781665047,N
Female,No,Not Graduate,34434,351,1,10.193413486670151,Y
Female,Yes,Graduate,22092,503,0,22.768422958537027,Y
Male,No,Not Graduate,10142,463,0,45.65174521790574,N
Male,Yes,Not Graduate,40893,523,0,12.789474971266475,N
Female,No,Graduate,40226,148,1,3.679212449659424,Y
Male,No,Graduate,24576,518,0,21.077473958333332,N
Female,Yes,Graduate,15273,249,1,16.303280298566097,Y
Male,No,Graduate,32085,192,1,5.984104721832632,Y
Female,Yes,Graduate,14763,74,1,5.012531328320802,Y
Male,No,Graduate,12182,765,1,62.79757018551962,Y
Female,Yes,Graduate,36660,433,0,11.811238406983088,Y
Male,Yes,Graduate,2496,630,0,252.40384615384616,N
Female,Yes,Graduate,5191,730,1,140.6280100173377,N
Female,No,Graduate,836,682,1,815.7894736842105,N
Female,No,Graduate,8070,475,0,58.85997521685254,N
Male,No,Graduate,3915,394,0,100.63856960408684,N
Male,No,Graduate,49792,382,1,7.671915167095116,Y
Female,Yes,Not Graduate,14796,643,0,43.45769126791025,N
Male,Yes,Graduate,7888,499,1,63.2606490872211,Y
Male,Yes,Not Graduate,12429,850,1,68.38844637541234,Y
Male,Yes,Graduate,46838,875,1,18.681412528288995,Y
Male,Yes,Graduate,26247,178,0,6.78172743551644,N
Female,Yes,Graduate,18558,144,0,7.759456838021339,Y
Female,No,Graduate,43732,634,1,14.49739321320772,Y
Male,Yes,Graduate,20052,308,1,15.360063834031518,Y
Male,Yes,Graduate,17082,28,1,1.6391523240838308,Y
Male,Yes,Graduate,10760,889,1,82.62081784386618,Y
Female,No,Graduate,19200,234,1,12.1875,Y
Female,Yes,Not Graduate,16175,929,0,57.43431221020093,N
Male,Yes,Not Graduate,34026,720,0,21.16028919061894,N
Male,Yes,Not Graduate,14834,765,1,51.57071592287987,Y
Male,Yes,Graduate,29071,209,0,7.189295173884627,Y
Male,Yes,Graduate,3761,241,0,64.07870247274661,N
Male,Yes,Graduate,9968,526,1,52.768860353130016,Y
Female,No,Not Graduate,20666,180,1,8.70995838575438,Y
Female,Yes,Not Graduate,46878,312,1,6.655574043261232,Y
Male,No,Graduate,19173,328,1,17.107390601366504,Y
Male,Yes,Not Graduate,33371,168,0,5.034311228312007,N
Female,Yes,Graduate,13126,213,1,16.22733506018589,Y
Female,No,Graduate,6788,790,1,116.38185032410135,N
Male,Yes,Graduate,3397,175,1,51.51604356785399,Y
Female,No,Not Graduate,15617,38,1,2.4332458218607926,Y
Female,Yes,Not Graduate,8304,633,0,76.22832369942196,N
Male,Yes,Not Graduate,9113,976,1,107.09974761329968,N
Male,Yes,Graduate,38157,337,0,8.831931231490945,Y
Male,No,Graduate,1283,127,1,98.9867498051442,N
Female,Yes,Not Graduate,28111,574,1,20.419053039735335,Y
Male,Yes,Graduate,19283,907,1,47.03624954623243,Y
Female,No,Graduate,25574,786,1,30.7343395636193,Y
Female,Yes,Not Graduate,28360,626,0,22.073342736248236,N
Male,No,Graduate,16011,321,1,20.04871650740116,Y
Male,Yes,Graduate,15107,546,1,36.14218574170914,Y
Male,No,Not Graduate,36803,100,0,2.7171697959405483,N
Male,Yes,Graduate,43628,682,1,15.632162831209316,Y
Male,Yes,Graduate,10032,727,1,72.46810207336523,Y
Female,No,Graduate,5332,965,0,180.9827456864216,N
Female,No,Graduate,44940,267,1,5.941255006675568,Y
Female,No,Graduate,17819,28,0,1.5713564173073686,N
Female,Yes,Graduate,27790,550,1,19.791291831594098,Y
Male,No,Graduate,18297,709,0,38.749521779526695,N
Female,Yes,Graduate,6727,792,1,117.73450275011149,N
Male,No,Graduate,29671,201,1,6.774291395638839,Y
Male,No,Not Graduate,26494,269,1,10.153242243526837,Y
Male,Yes,Graduate,10548,517,1,49.01403109594236,Y
Male,No,Graduate,22867,337,1,14.73739449862247,Y
Male,Yes,Graduate,39948,861,1,21.553018924601982,Y
Male,Yes,Graduate,29726,479,0,16.113839736257823,Y
Female,Yes,Not Graduate,5297,801,1,151.21767037946006,N
Male,Yes,Graduate,27627,584,1,21.138741086618165,Y
Female,Yes,Not Graduate,35285,775,1,21.964007368570215,Y
Female,No,Graduate,39738,339,1,8.530877245961046,Y
Male,No,Graduate,31641,833,1,26.32660156126545,Y
Female,No,Graduate,8056,281,1,34.88083416087388,Y
Male,Yes,Graduate,35653,550,1,15.42647182565282,Y
Male,No,Graduate,34028,221,0,6.494651463500647,N
Male,Yes,Graduate,1709,480,1,280.86600351082507,N
Female,Yes,Graduate,20881,324,1,15.516498251999426,Y
Female,Yes,Graduate,16981,274,1,16.1356810552971,Y
Male,Yes,Graduate,33635,967,1,28.749814181656014,Y
Male,No,Not Graduate,11198,168,0,15.002679049830327,N
Male,Yes,Not Graduate,29748,789,1,26.522791448164583,Y
Male,Yes,Graduate,45703,984,1,21.530315296588846,Y
Male,No,Graduate,39991,29,0,0.7251631617113851,Y
Female,No,Graduate,46112,702,1,15.22380291464261,Y
Female,Yes,Not Graduate,48936,260,0,5.313061958476378,N
Male,Yes,Graduate,1028,50,1,48.63813229571984,Y
Female,Yes,Graduate,31325,408,0,13.024740622505986,N
Female,Yes,Not Graduate,20935,935,1,44.662049199904466,Y
Male,Yes,Graduate,43062,21,1,0.4876689424550648,Y
Male,Yes,Graduate,12964,592,1,45.66491823511262,Y
Male,Yes,Graduate,49060,506,1,10.31390134529148,Y
Male,No,Graduate,30878,874,1,28.304942029924216,Y
Female,Yes,Graduate,39780,93,0,2.3378582202111615,Y
Male,Yes,Not Graduate,4737,684,0,144.39518682710576,N
Male,Yes,Graduate,9581,683,1,71.28692203319069,Y
Female,Yes,Graduate,38040,672,0,17.665615141955836,Y
Male,Yes,Graduate,1588,942,1,593.198992443325,N
Male,Yes,Graduate,40935,824,1,20.129473555636984,Y
Male,Yes,Graduate,1190,51,1,42.857142857142854,Y
Male,Yes,Graduate,33027,476,1,14.412450419353862,Y
Male,Yes,Not Graduate,18572,403,0,21.699332328236054,N
Female,No,Graduate,30768,317,1,10.30291211648466,Y
Female,Yes,Graduate,34953,456,1,13.046090464337825,Y
Male,No,Graduate,17452,390,1,22.347008938803576,Y
Male,Yes,Graduate,5844,438,1,74.94866529774127,Y
Male,Yes,Not Graduate,3947,979,0,248.03648340511782,N
Male,Yes,Graduate,29652,97,1,3.2712801834614864,Y
Male,Yes,Graduate,26272,923,1,35.13246041412911,Y
Male,Yes,Graduate,37238,485,1,13.024329985498683,Y
Male,Yes,Graduate,25731,627,1,24.367494461933077,Y
Male,Yes,Graduate,21411,831,1,38.8118256970716,Y
Male,Yes,Not Graduate,20205,366,1,18.114328136599852,Y
Male,No,Graduate,1809,436,0,241.01713653952459,N
Male,No,Not Graduate,17110,415,1,24.254821741671538,Y
Female,Yes,Graduate,48812,380,1,7.7849709087929195,Y
Female,Yes,Not Graduate,43741,926,1,21.170069271392972,Y
Female,No,Not Graduate,16804,830,1,49.39300166626994,Y
Male,No,Graduate,29595,117,0,3.953370501773948,Y
Female,No,Graduate,42441,117,1,2.7567682194104757,Y
Male,Yes,Graduate,22343,433,1,19.379671485476436,Y
Male,No,Graduate,1388,107,1,77.08933717579251,Y
Female,Yes,Graduate,4188,622,1,148.51957975167144,N
Male,No,Graduate,25764,152,1,5.899705014749262,Y
Female,Yes,Graduate,48487,527,0,10.868892692886753,N
Female,No,Not Graduate,34813,17,1,0.4883233274926033,Y
Male,No,Graduate,4010,323,1,80.54862842892769,Y
Female,Yes,Graduate,9873,680,1,68.87470880178265,Y
Female,No,Graduate,38680,489,1,12.642192347466391,Y
Male,No,Not Graduate,42151,978,1,23.202296505420986,Y
Male,No,Not Graduate,31075,875,1,28.15768302493966,Y
Female,No,Not Graduate,32398,365,0,11.26612753873696,N
Male,No,Graduate,1902,55,1,28.916929547844376,Y
Female,No,Graduate,41512,847,1,20.403738677972633,Y
Female,Yes,Not Graduate,39519,912,1,23.077507021938814,Y
Male,Yes,Graduate,13322,822,1,61.70244708001802,Y
Male,Yes,Graduate,35579,136,1,3.822479552545041,Y
Male,No,Graduate,11135,997,1,89.53749438706781,Y
Male,Yes,Graduate,2496,265,1,106.1698717948718,N
Male,Yes,Not Graduate,10456,726,1,69.43381790359602,Y
Male,No,Graduate,9342,908,1,97.19546135731107,N
Female,Yes,Graduate,17218,243,1,14.113137414333837,Y
Male,No,Graduate,21213,909,1,42.85108188375053,Y
Female,No,Graduate,25672,316,1,12.309130570271112,Y
Male,Yes,Not Graduate,24099,976,1,40.49960579277148,Y
Female,Yes,Graduate,13898,288,1,20.72240610159735,Y
Female,Yes,Not Graduate,1943,953,1,490.4786412763767,N
Male,Yes,Graduate,30452,63,1,2.0688296335216076,Y
Male,Yes,Graduate,20089,712,1,35.442281845786255,Y
Male,No,Not Graduate,15284,536,1,35.069353572363255,Y
Male,No,Graduate,43413,483,1,11.125699675212495,Y
Female,Yes,Not Graduate,37463,231,1,6.166083869417825,Y
Female,Yes,Graduate,42959,708,1,16.480830559370563,Y
Female,Yes,Graduate,25001,198,0,7.919683212671493,Y
Male,Yes,Graduate,6981,557,1,79.78799598911331,N
Male,Yes,Graduate,34962,260,1,7.436645500829472,Y
Male,Yes,Graduate,10700,956,1,89.34579439252336,Y
Female,No,Graduate,22340,38,1,1.7009847806624887,Y
Male,Yes,Graduate,3717,207,0,55.69007263922518,N
Male,Yes,Graduate,41352,249,0,6.02147417295415,Y
Male,Yes,Not Graduate,6734,419,1,62.22156222156222,Y
Male,No,Graduate,45203,240,1,5.309382120655709,Y
Male,Yes,Not Graduate,43279,496,1,11.460523579565146,Y
Female,No,Graduate,23496,873,0,37.15526046986721,N
Female,No,Not Graduate,37346,714,0,19.11851336153805,N
Male,No,Not Graduate,31162,584,1,18.740774019639304,Y
Female,Yes,Graduate,40252,98,1,2.434661631720163,Y
Female,Yes,Graduate,21874,697,1,31.864313797202158,Y
Female,No,Graduate,39397,174,0,4.416579942635226,Y
Female,Yes,Not Graduate,23391,788,1,33.68817066393057,Y
Male,Yes,Graduate,47077,257,0,5.459141406631688,N
Male,Yes,Graduate,24575,422,0,17.171922685656156,Y
Male,No,Graduate,23399,356,1,15.214325398521304,Y
Female,Yes,Not Graduate,39361,860,1,21.849038388252332,Y
Male,Yes,Graduate,41168,135,0,3.279246016323358,Y
Male,No,Not Graduate,27947,569,1,20.359967080545317,Y
Female,No,Graduate,9399,150,1,15.959144589849984,Y
Male,Yes,Graduate,23654,707,1,29.889236492770777,Y
Female,Yes,Graduate,48419,906,1,18.711662777009025,Y
Male,Yes,Graduate,37772,440,0,11.64884041088637,Y
Male,Yes,Graduate,40652,493,1,12.127324608875332,Y
Female,Yes,Graduate,2124,928,1,436.9114877589454,N
Female,Yes,Graduate,23659,525,1,22.19028699437846,Y
Male,No,Graduate,32507,492,1,15.135201648875627,Y
Male,Yes,Graduate,41586,582,0,13.995094502957727,Y
Male,Yes,Graduate,2939,692,1,235.45423613473972,N
Male,Yes,Graduate,42695,115,0,2.6935238318304253,Y
Female,Yes,Graduate,27645,822,1,29.73412913727618,Y
Female,Yes,Graduate,10267,441,1,42.953150871724944,Y
Male,No,Graduate,16204,81,1,4.9987657368550975,Y
Female,Yes,Not Graduate,14455,788,1,54.51400899342788,Y
Male,No,Graduate,26777,383,1,14.303320013444374,Y
Male,Yes,Graduate,3058,109,1,35.644211903204706,Y
Male,No,Not Graduate,8347,637,1,76.3148436564035,N
Female,No,Not Graduate,40728,881,0,21.6313101551758,N
Male,Yes,Graduate,7063,888,1,125.7256123460286,Y
Male,No,Graduate,12053,958,0,79.4822865676595,N
Male,Yes,Graduate,22941,869,1,37.879778562399196,Y
Male,Yes,Not Graduate,26097,12,1,0.4598229681572595,Y
Female,No,Graduate,38298,386,1,10.07885529270458,Y
Male,No,Not Graduate,22642,820,1,36.21588198922357,Y
Male,Yes,Graduate,39598,372,0,9.394413859285823,Y
Female,No,Not Graduate,31108,605,1,19.44837340876945,Y
Female,Yes,Not Graduate,6098,610,1,100.03279763857002,N
Female,Yes,Not Graduate,8238,371,1,45.03520271910658,Y
Female,Yes,Graduate,22133,905,1,40.88917001762075,Y
Female,Yes,Not Graduate,20146,508,1,25.215923756576988,Y
Male,Yes,Graduate,37305,470,1,12.598847339498727,Y
Female,Yes,Graduate,29246,997,0,34.09013198386104,N
Female,No,Graduate,19712,498,0,25.2637987012987,N
Male,No,Graduate,8952,186,1,20.777479892761395,Y
Female,Yes,Graduate,11728,517,1,44.082537517053204,Y
Male,Yes,Not Graduate,28987,815,1,28.116052023320798,Y
Female,Yes,Graduate,21460,779,1,36.30009319664492,Y
Female,Yes,Not Graduate,25988,790,1,30.398645528705558,Y
Male,Yes,Not Graduate,8948,710,1,79.34734018775146,Y
Male,Yes,Graduate,33313,261,0,7.834779215321346,Y
Male,Yes,Graduate,42700,863,0,20.210772833723652,Y
Male,No,Graduate,13268,894,1,67.38016279770878,Y
Male,Yes,Graduate,24829,202,1,8.13564783116517,Y
Female,Yes,Graduate,48788,139,1,2.8490612445683365,Y
Female,Yes,Not Graduate,16995,975,1,57.36981465136805,Y
Male,Yes,Not Graduate,29954,869,1,29.011150430660347,Y
Male,Yes,Not Graduate,4964,894,1,180.09669621273167,N
Male,Yes,Not Graduate,30497,887,0,29.084828015870414,N
Male,No,Graduate,4936,546,1,110.61588330632091,N
Female,Yes,Graduate,47982,649,1,13.525905547913801,Y
Male,No,Not Graduate,35925,549,1,15.281837160751566,Y
Female,Yes,Graduate,39513,60,1,1.5184875863639815,Y
Male,No,Graduate,35353,748,1,21.15803467881085,Y
Male,No,Not Graduate,29691,510,1,17.176922299686773,Y
Male,No,Not Graduate,22770,651,1,28.590250329380765,Y
Male,Yes,Not Graduate,42989,507,1,11.793714671194957,Y
Male,Yes,Not Graduate,47863,496,1,10.36291080793097,Y
Female,No,Not Graduate,25202,180,1,7.142290294421078,Y
Male,No,Graduate,46610,285,1,6.114567689337052,Y
Male,Yes,Not Graduate,29374,167,0,5.685299925103833,N
Male,No,Graduate,27150,203,1,7.476979742173112,Y
Female,Yes,Graduate,22996,973,0,42.31170638371891,N
Male,Yes,Graduate,10859,161,1,14.826411271756147,Y
Female,Yes,Graduate,684,276,1,403.50877192982455,N
Female,No,Not Graduate,12454,594,1,47.69551951180344,Y
Male,Yes,Graduate,25731,614,1,23.86226730403016,Y
Female,Yes,Graduate,19308,162,1,8.39030453697949,Y
Female,Yes,Not Graduate,22700,795,0,35.02202643171806,N
Male,No,Not Graduate,49042,787,1,16.047469515925126,Y
Male,Yes,Graduate,17838,244,1,13.678663527301268,Y
Male,No,Graduate,22883,295,1,12.891666302495302,Y
Male,Yes,Graduate,7109,938,0,131.94542129694753,N
Male,Yes,Graduate,2873,827,1,287.85241907413854,N
Female,Yes,Graduate,38882,700,1,18.0031891363613,Y
Female,No,Not Graduate,28748,91,1,3.1654375956588283,Y
Male,No,Graduate,38154,424,1,11.112858415893484,Y
Male,Yes,Not Graduate,7918,563,1,71.1038140944683,N
Male,No,Not Graduate,28805,195,1,6.769658045478216,Y
Male,No,Graduate,13055,453,1,34.69934890846419,Y
Female,Yes,Graduate,11789,605,0,51.31902621087455,N
Male,Yes,Graduate,1070,334,1,312.14953271028037,N
Female,No,Graduate,6951,783,1,112.64566249460509,Y
Male,Yes,Graduate,15808,842,0,53.26417004048583,N
Male,No,Not Graduate,6285,330,1,52.50596658711217,Y
Male,Yes,Not Graduate,49299,840,1,17.038885170084587,Y
Female,No,Not Graduate,15777,112,1,7.098941497116055,Y
Female,Yes,Graduate,6951,839,1,120.7020572579485,N
Female,Yes,Graduate,10354,161,1,15.549546069152019,Y
Male,Yes,Graduate,29591,92,1,3.109053428407286,Y
Male,Yes,Graduate,3670,645,1,175.7493188010899,N
Female,No,Graduate,43190,477,1,11.044223199814772,Y
Female,Yes,Not Graduate,48094,908,1,18.8796939327151,Y
Male,Yes,Not Graduate,12713,369,1,29.025407063635647,Y
Female,Yes,Graduate,22779,294,1,12.906624522586593,Y
Male,No,Graduate,1595,505,0,316.6144200626959,N
Male,Yes,Graduate,32215,461,0,14.310103988825082,Y
Female,No,Not Graduate,20989,350,1,16.67540140073372,Y
Female,Yes,Graduate,13867,696,1,50.191101175452516,Y
Male,Yes,Graduate,10738,761,0,70.86980815794375,N
Female,Yes,Not Graduate,32874,854,1,25.977976516395938,Y
Female,Yes,Graduate,21102,973,0,46.109373519097716,N
Male,Yes,Graduate,9393,273,1,29.06419674225487,Y
Male,No,Graduate,34610,718,1,20.745449292112106,Y
Male,No,Not Graduate,28471,400,1,14.049383583295283,Y
Male,No,Graduate,43004,680,1,15.812482559761882,Y
Female,No,Graduate,6315,481,0,76.16785431512272,N
Female,No,Graduate,39390,993,1,25.209444021325208,Y
Male,No,Graduate,33839,731,1,21.60229321197435,Y
Male,Yes,Graduate,6193,952,1,153.7219441304699,N
Male,Yes,Graduate,34893,836,1,23.95896024990686,Y
Male,No,Graduate,22356,903,1,40.3918411164788,Y
Female,Yes,Graduate,47276,816,1,17.260343514679754,Y
Male,No,Not Graduate,7509,464,0,61.792515647889196,N
Female,Yes,Graduate,32320,259,1,8.013613861386139,Y
Male,Yes,Not Graduate,19408,376,1,19.373454245671887,Y
Female,Yes,Graduate,47862,30,0,0.6268020559107433,Y
Female,Yes,Graduate,16833,528,1,31.366957761539833,Y
Female,Yes,Graduate,48128,510,1,10.596742021276595,Y
Male,Yes,Graduate,45123,529,1,11.723511291359173,Y
Male,Yes,Graduate,13883,974,1,70.1577468846791,Y
Male,Yes,Not Graduate,40275,912,1,22.644320297951584,Y
Male,Yes,Graduate,49782,170,1,3.414888915672331,Y
Female,No,Graduate,13006,375,0,28.832846378594496,N
Female,Yes,Not Graduate,22120,429,1,19.394213381555154,Y
